City,Administrative Division,Country,Full,Map
Kyzylorda,Kyzylorda Region,Kazakhstan,"Kyzylorda, Kyzylorda Region, Kazakhstan",https://en.wikipedia.org/wiki/File:Kyzylorda_Region_in_Kazakhstan.png
Kyzylorda Region,Kazakhstan,,"Kyzylorda Region, Kazakhstan",https://en.wikipedia.org/wiki/File:Kyzylorda_Region_in_Kazakhstan.png
La Pampa,Argentina,,"La Pampa, Argentina",https://en.wikipedia.org/wiki/File:La_Pampa_in_Argentina_(%2BFalkland_hatched).svg
La Paz,La Paz Department,Bolivia,"La Paz, La Paz Department, Bolivia",https://en.wikipedia.org/wiki/File:La_Paz_in_Bolivia.svg
La Paz Department,Bolivia,,"La Paz Department, Bolivia",https://en.wikipedia.org/wiki/File:La_Paz_in_Bolivia.svg
La Plata,Buenos Aires,Argentina,"La Plata, Buenos Aires, Argentina",https://en.wikipedia.org/wiki/File:Buenos_Aires_Province_in_Argentina_(%2BFalkland).svg
La Rioja,Argentina,,"La Rioja, Argentina",https://en.wikipedia.org/wiki/File:La_Rioja_in_Argentina_(%2BFalkland_hatched).svg
La Paz,,,La Paz,
Laayoune,Laayoune-SakiaEl Hamra,Morocco(de facto),"Laayoune, Laayoune-SakiaEl Hamra, Morocco(de facto)",https://en.wikipedia.org/wiki/File:La%C3%A2youne-Sakia_El_Hamra_in_Morocco_(Morocco_view).svg
Laayoune-SakiaEl Hamra,Morocco(de facto),,"Laayoune-SakiaEl Hamra, Morocco(de facto)",https://en.wikipedia.org/wiki/File:La%C3%A2youne-Sakia_El_Hamra_in_Morocco_(Morocco_view).svg
Lagos,,,Lagos,
Lahore,Punja,Pakistan,"Lahore, Punja, Pakistan",https://en.wikipedia.org/wiki/File:Punjab_in_Pakistan_(claims_hatched).svg
Lansing,Michigan,United States,"Lansing, Michigan, United States",https://en.wikipedia.org/wiki/File:Michigan_in_United_States.svg
Lanzhou,Gansu,China,"Lanzhou, Gansu, China",https://en.wikipedia.org/wiki/File:Gansu_in_China_(%2Ball_claims_hatched).svg
Lapland,Finland,,"Lapland, Finland",https://en.wikipedia.org/wiki/File:Lappi_sijainti_Suomi.svg
Las Vegas,Nevada,United States,"Las Vegas, Nevada, United States",https://en.wikipedia.org/wiki/File:Nevada_in_United_States.svg
Lebap,Turkmenistan,,"Lebap, Turkmenistan",https://en.wikipedia.org/wiki/File:Lebap_Province_in_Turkmenistan.svg
Leningrad,Russia,,"Leningrad, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Leningrad_Oblast.svg
Leticia,Amazonas,Colombia,"Leticia, Amazonas, Colombia",https://en.wikipedia.org/wiki/File:Amazonas_in_Colombia.svg
Lhasa,Tibet,China,"Lhasa, Tibet, China",https://en.wikipedia.org/wiki/File:Tibet_in_China_(claimed_hatched)_(%2Ball_claims_hatched).svg
Liaoning,China,,"Liaoning, China",https://en.wikipedia.org/wiki/File:Liaoning_in_China_(%2Ball_claims_hatched).svg
Libreville,,,Libreville,
Libya,,,Libya,
Lichinga,Niassa,Mozambique,"Lichinga, Niassa, Mozambique",https://en.wikipedia.org/wiki/File:Niassa_in_Mozambique.svg
Lima,,,Lima,
Limpopo,South Africa,,"Limpopo, South Africa",https://en.wikipedia.org/wiki/File:Limpopo_in_South_Africa.svg
Lincoln,Nebraska,United States,"Lincoln, Nebraska, United States",https://en.wikipedia.org/wiki/File:Nebraska_in_United_States.svg
Lisbon,,,Lisbon,
Little Rock,Arkansas,United States,"Little Rock, Arkansas, United States",https://en.wikipedia.org/wiki/File:Arkansas_in_United_States.svg
Ljubljana,,,Ljubljana,
Lodwar,Turkana,Kenya,"Lodwar, Turkana, Kenya",https://en.wikipedia.org/wiki/File:Turkana_County_in_Kenya.svg
Lome,,,Lome,
London,England,United Kingdom,"London, England, United Kingdom",https://en.wikipedia.org/wiki/File:England_in_United_Kingdom.svg
Longyearbyen,Arctic,,"Longyearbyen, Arctic",
Loreto,Peru,,"Loreto, Peru",https://en.wikipedia.org/wiki/File:Peru_-_Loreto_Department_(locator_map).svg
Los Angeles,California,United States,"Los Angeles, California, United States",https://en.wikipedia.org/wiki/File:California_in_United_States.svg
Louisiana,United States,,"Louisiana, United States",https://en.wikipedia.org/wiki/File:Louisiana_in_United_States.svg
Louisville,Kentucky,United States,"Louisville, Kentucky, United States",https://en.wikipedia.org/wiki/File:Kentucky_in_United_States.svg
Lower Princes,,,Lower Princes,
Lualaba,Congo-Kinshasa,,"Lualaba, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Lualaba.svg
Luanda,,,Luanda,
Lubumbashi,Haut-Katanga,Congo-Kinshasa,"Lubumbashi, Haut-Katanga, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Haut-Katanga.svg
Lucknow,Uttar Pradesh,India,"Lucknow, Uttar Pradesh, India",https://en.wikipedia.org/wiki/File:Uttar_Pradesh_in_India_(disputed_hatched).svg
Luena,Moxico,Angola,"Luena, Moxico, Angola",https://en.wikipedia.org/wiki/File:Moxico_in_Angola.svg
Lulea,Norrbotten,Sweden,"Lulea, Norrbotten, Sweden",https://en.wikipedia.org/wiki/File:Norrbottens_l%C3%A4n_in_Sweden.svg
Lunda Norte,Angola,,"Lunda Norte, Angola",https://en.wikipedia.org/wiki/File:Lunda_Norte_in_Angola.svg
Lusaka,,,Lusaka,
Lusambo,Sankuru,Congo-Kinshasa,"Lusambo, Sankuru, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Sankuru.svg
Luxembourg,,,Luxembourg,
Macapa,Amapa,Brazil,"Macapa, Amapa, Brazil",https://en.wikipedia.org/wiki/File:Amapa_in_Brazil.svg
Macau,,,Macau,
Maceio,,,Maceio,
Madeira,,,Madeira,
Madhya Pradesh,India,,"Madhya Pradesh, India",https://en.wikipedia.org/wiki/File:Madhya_Pradesh_in_India.svg
Madison,Wisconsin,United States,"Madison, Wisconsin, United States",https://en.wikipedia.org/wiki/File:Wisconsin_in_United_States.svg
Madre de Dios,Peru,,"Madre de Dios, Peru",https://en.wikipedia.org/wiki/File:Peru_-_Madre_de_Dios_Department_(locator_map).svg
Madrid,,,Madrid,
Mafikeng,North West,South Africa,"Mafikeng, North West, South Africa",https://en.wikipedia.org/wiki/File:North_West_in_South_Africa.svg
Magadan,Russia,,"Magadan, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Magadan_Oblast.svg
Magallanes,Chile,,"Magallanes, Chile",https://en.wikipedia.org/wiki/File:Magallanes_and_Antartica_Chilena_in_Chile_2018.svg
Maharashtra,India,,"Maharashtra, India",https://en.wikipedia.org/wiki/File:Maharashtra_in_India.svg
Mahe,,,Mahe,
Mai-Ndombe,Congo-Kinshasa,,"Mai-Ndombe, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Mai-Ndombe.svg
Maine,United States,,"Maine, United States",https://en.wikipedia.org/wiki/File:Maine_in_United_States.svg
Majuro,,,Majuro,
Makassar,,,Makassar,
Malabo,,,Malabo,
Malanje,Malanje Province,Angola,"Malanje, Malanje Province, Angola",https://en.wikipedia.org/wiki/File:Malanje_in_Angola.svg
Malanje Province,Angola,,"Malanje Province, Angola",https://en.wikipedia.org/wiki/File:Malanje_in_Angola.svg
Malaysia,,,Malaysia,
Maldives,,,Maldives,
Mali,,,Mali,
Malta,,,Malta,
Managua,,,Managua,
Manaus,Amazonas,Brazil,"Manaus, Amazonas, Brazil",https://en.wikipedia.org/wiki/File:Amazonas_in_Brazil.svg
Mangystau,Kazakhstan,,"Mangystau, Kazakhstan",https://en.wikipedia.org/wiki/File:Mangystau_Region_in_Kazakhstan.png
Maniema,Congo-Kinshasa,,"Maniema, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Maniema.svg
Manila,,,Manila,
Manitoba,Canada,,"Manitoba, Canada",https://en.wikipedia.org/wiki/File:Manitoba_in_Canada.svg
Maputo,,,Maputo,
Maranhao,Brazil,,"Maranhao, Brazil",https://en.wikipedia.org/wiki/File:Maranhao_in_Brazil.svg
Mariehamn,,,Mariehamn,
Mariental,Hardap,Namibia,"Mariental, Hardap, Namibia",https://en.wikipedia.org/wiki/File:Hardap_in_Namibia.svg
Marigot,,,Marigot,
Martinique,,,Martinique,
Mary,Mary Region,Turkmenistan,"Mary, Mary Region, Turkmenistan",https://en.wikipedia.org/wiki/File:Mary_Province_in_Turkmenistan.svg
Mary Region,Turkmenistan,,"Mary Region, Turkmenistan",https://en.wikipedia.org/wiki/File:Mary_Province_in_Turkmenistan.svg
Maseru,,,Maseru,
Mashhad,Razavi Khorasan,Iran,"Mashhad, Razavi Khorasan, Iran",https://en.wikipedia.org/wiki/File:IranRazaviKhorasan-SVG.svg
Matamoros,,,Matamoros,
Mato Grosso,Brazil,,"Mato Grosso, Brazil",https://en.wikipedia.org/wiki/File:Mato_Grosso_in_Brazil.svg
Mato Grosso do Sul,Brazil,,"Mato Grosso do Sul, Brazil",https://en.wikipedia.org/wiki/File:Mato_Grosso_do_Sul_in_Brazil.svg
Matrouh,Egypt,,"Matrouh, Egypt",https://en.wikipedia.org/wiki/File:Matruh_in_Egypt.svg
Maun,North-West,Botswana,"Maun, North-West, Botswana",https://en.wikipedia.org/wiki/File:Botswana_-_North-West.svg
Mauritania,,,Mauritania,
Mauritius,,,Mauritius,
Mayotte,,,Mayotte,
Mazatlan,,,Mazatlan,
Mbabane,,,Mbabane,
Mbandaka,Equateur,Congo-Kinshasa,"Mbandaka, Equateur, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_%C3%89quateur.svg
Mecca,Saudi Arabia,,"Mecca, Saudi Arabia",https://en.wikipedia.org/wiki/File:Makkah_in_Saudi_Arabia.svg
Medina,Saudi Arabia,,"Medina, Saudi Arabia",https://en.wikipedia.org/wiki/File:Al_Madinah_in_Saudi_Arabia.svg
Melbourne,Victoria,Australia,"Melbourne, Victoria, Australia",https://en.wikipedia.org/wiki/File:Victoria_in_Australia.svg
Menaka,Mali,,"Menaka, Mali",https://en.wikipedia.org/wiki/File:M%C3%A9naka_in_Mali_2012.svg
Mendoza,Argentina,,"Mendoza, Argentina",
Mendoza,Mendoza Province,Argentina,"Mendoza, Mendoza Province, Argentina",https://en.wikipedia.org/wiki/File:Mendoza_in_Argentina_(%2BFalkland_hatched).svg
Mendoza Province,Argentina,,"Mendoza Province, Argentina",https://en.wikipedia.org/wiki/File:Mendoza_in_Argentina_(%2BFalkland_hatched).svg
Menongue,Cuando Cubango,Angola,"Menongue, Cuando Cubango, Angola",https://en.wikipedia.org/wiki/File:Cuando_Cubango_in_Angola.svg
Merida,,,Merida,
Mersa Matruh,Matrouh,Egypt,"Mersa Matruh, Matrouh, Egypt",https://en.wikipedia.org/wiki/File:Matruh_in_Egypt.svg
Meta,Colombia,,"Meta, Colombia",https://en.wikipedia.org/wiki/File:Meta_in_Colombia.svg
Mexico City,,,Mexico City,
Michigan,United States,,"Michigan, United States",https://en.wikipedia.org/wiki/File:Michigan_in_United_States.svg
Milwaukee,Wisconsin,United States,"Milwaukee, Wisconsin, United States",https://en.wikipedia.org/wiki/File:Wisconsin_in_United_States.svg
Minas Gerais,Brazil,,"Minas Gerais, Brazil",https://en.wikipedia.org/wiki/File:Minas_Gerais_in_Brazil.svg
Minneapolis,Minnesota,United States,"Minneapolis, Minnesota, United States",https://en.wikipedia.org/wiki/File:Minnesota_in_United_States.svg
Minnesota,United States,,"Minnesota, United States",https://en.wikipedia.org/wiki/File:Minnesota_in_United_States.svg
Minsk,,,Minsk,
Miquelon,,,Miquelon,
Mississippi,United States,,"Mississippi, United States",https://en.wikipedia.org/wiki/File:Mississippi_in_United_States.svg
Missouri,United States,,"Missouri, United States",https://en.wikipedia.org/wiki/File:Missouri_in_United_States.svg
Mogadishu,,,Mogadishu,
Monaco,,,Monaco,
Moncton,,,Moncton,
Mongolia,,,Mongolia,
Mongu,Western,Zambia,"Mongu, Western, Zambia",https://en.wikipedia.org/wiki/File:Western_in_Zambia.svg
Monrovia,,,Monrovia,
Montana,United States,,"Montana, United States",https://en.wikipedia.org/wiki/File:Montana_in_United_States.svg
Monterrey,,,Monterrey,
Montevideo,,,Montevideo,
Montgomery,Alabama,United States,"Montgomery, Alabama, United States",https://en.wikipedia.org/wiki/File:Alabama_in_United_States.svg
Montreal,Quebec,Canada,"Montreal, Quebec, Canada",https://en.wikipedia.org/wiki/File:Quebec_in_Canada_2.svg
Montserrat,,,Montserrat,
Monywa,Sagaing,Myanmar,"Monywa, Sagaing, Myanmar",https://en.wikipedia.org/wiki/File:Sagaing_Region_in_Myanmar.svg
Morocco,,,Morocco,
Moron,Khovsgol,Mongolia,"Moron, Khovsgol, Mongolia",https://en.wikipedia.org/wiki/File:Kh%C3%B6vsg%C3%B6l_in_Mongolia.svg
Moscow,,,Moscow,
Moxico,Angola,,"Moxico, Angola",https://en.wikipedia.org/wiki/File:Moxico_in_Angola.svg
Mozambique,,,Mozambique,
Mukalla,Hadramout,Yemen,"Mukalla, Hadramout, Yemen",https://en.wikipedia.org/wiki/File:Hadramaut_in_Yemen.svg
Mumbai,Maharashtra,India,"Mumbai, Maharashtra, India",https://en.wikipedia.org/wiki/File:Maharashtra_in_India.svg
Murmansk,Russia,,"Murmansk, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Murmansk_Oblast.svg
Murzuk,Libya,Libya,"Murzuk, Libya, Libya",https://en.wikipedia.org/wiki/File:Murzuq_in_Libya.svg
Muscat,,,Muscat,
Myanmar,,,Myanmar,
Myitkyina,Kachin,Myanmar,"Myitkyina, Kachin, Myanmar",https://en.wikipedia.org/wiki/File:Kachin_State_in_Myanmar.svg
Nairobi,,,Nairobi,
Najran,Saudi Arabia,,"Najran, Saudi Arabia",https://en.wikipedia.org/wiki/File:Najran_in_Saudi_Arabia.svg
Namibia,,,Namibia,
Nanchang,China,China,"Nanchang, China, China",https://en.wikipedia.org/wiki/File:Jiangxi_in_China_(%2Ball_claims_hatched).svg
Naryan-Mar,Nenets,Russia,"Naryan-Mar, Nenets, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Nenets_Autonomous_Okrug.svg
Nashville,Tennessee,United States,"Nashville, Tennessee, United States",https://en.wikipedia.org/wiki/File:Tennessee_in_United_States.svg
Nassau,,,Nassau,
Nauru,,,Nauru,
Navoiy,Navoiy Region,Uzbekistan,"Navoiy, Navoiy Region, Uzbekistan",https://en.wikipedia.org/wiki/File:Navoiy_Viloyati_in_Uzbekistan.svg
Navoiy Region,Uzbekistan,,"Navoiy Region, Uzbekistan",https://en.wikipedia.org/wiki/File:Navoiy_Viloyati_in_Uzbekistan.svg
Ndjamena,,,Ndjamena,
Nebraska,United States,,"Nebraska, United States",https://en.wikipedia.org/wiki/File:Nebraska_in_United_States.svg
Nema,Hodh Ech Chargui,Mauritania,"Nema, Hodh Ech Chargui, Mauritania",https://en.wikipedia.org/wiki/File:Hodh_Ech_Chargui_in_Mauritania.svg
Nenets,Russia,,"Nenets, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Nenets_Autonomous_Okrug.svg
Neuquen,Neuquen Province,Argentina,"Neuquen, Neuquen Province, Argentina",https://en.wikipedia.org/wiki/File:Neuquen_in_Argentina.svg
Neuquen Province,Argentina,,"Neuquen Province, Argentina",https://en.wikipedia.org/wiki/File:Neuquen_in_Argentina.svg
Nevada,United States,,"Nevada, United States",https://en.wikipedia.org/wiki/File:Nevada_in_United_States.svg
New Mexico,United States,,"New Mexico, United States",https://en.wikipedia.org/wiki/File:New_Mexico_in_United_States.svg
New Orleans,Louisiana,United States,"New Orleans, Louisiana, United States",https://en.wikipedia.org/wiki/File:Louisiana_in_United_States.svg
New South Wales,Australia,,"New South Wales, Australia",https://en.wikipedia.org/wiki/File:New_South_Wales_in_Australia.svg
New Valley,Egypt,,"New Valley, Egypt",https://en.wikipedia.org/wiki/File:New_Valley_in_Egypt.svg
New York,United States,,"New York, United States",https://en.wikipedia.org/wiki/File:New_York_in_United_States.svg
New Salem,North_Dakota,,"New Salem, North_Dakota",
Newfoundlandand Labrador,Canada,,"Newfoundlandand Labrador, Canada",https://en.wikipedia.org/wiki/File:Newfoundland_and_Labrador_in_Canada_2.svg
Niamey,,,Niamey,
Niassa,Mozambique,,"Niassa, Mozambique",https://en.wikipedia.org/wiki/File:Niassa_in_Mozambique.svg
Nicosia,,,Nicosia,
Niger,,,Niger,
Niue,,,Niue,
Norfolk,,,Norfolk,
Norrbotten,Sweden,,"Norrbotten, Sweden",https://en.wikipedia.org/wiki/File:Norrbottens_l%C3%A4n_in_Sweden.svg
North Carolina,United States,,"North Carolina, United States",https://en.wikipedia.org/wiki/File:North_Carolina_in_United_States.svg
North Dakota,United States,,"North Dakota, United States",https://en.wikipedia.org/wiki/File:North_Dakota_in_United_States.svg
North Darfur,Sudan,,"North Darfur, Sudan",https://en.wikipedia.org/wiki/File:North_Darfur_in_Sudan_(Kafia_Kingi_disputed).svg
North Kordofan,Sudan,,"North Kordofan, Sudan",https://en.wikipedia.org/wiki/File:North_Kurdufan_in_Sudan_(Kafia_Kingi_disputed).svg
North West,South Africa,,"North West, South Africa",https://en.wikipedia.org/wiki/File:North_West_in_South_Africa.svg
Northern,Sudan,,"Northern, Sudan",https://en.wikipedia.org/wiki/File:Northern_in_Sudan_(Kafia_Kingi_disputed).svg
Northern Borders,Saudi Arabia,,"Northern Borders, Saudi Arabia",https://en.wikipedia.org/wiki/File:Al_%E1%B8%A4udud_ash_Shamaliyah_in_Saudi_Arabia.svg
Northern Cape,South Africa,,"Northern Cape, South Africa",https://en.wikipedia.org/wiki/File:Northern_Cape_in_South_Africa.svg
Northern Territory,Australia,,"Northern Territory, Australia",https://en.wikipedia.org/wiki/File:Northern_Territory_in_Australia.svg
North-West,Botswana,,"North-West, Botswana",https://en.wikipedia.org/wiki/File:Botswana_-_North-West.svg
Northwest Territories,Canada,,"Northwest Territories, Canada",https://en.wikipedia.org/wiki/File:Northwest_Territories_in_Canada_2.svg
North-Western,Zambia,,"North-Western, Zambia",https://en.wikipedia.org/wiki/File:North-Western_in_Zambia.svg
Nouakchott,,,Nouakchott,
Noumea,,,Noumea,
Nouvelle-Aquitaine,France,,"Nouvelle-Aquitaine, France",https://en.wikipedia.org/wiki/File:Nouvelle-Aquitaine_in_France_2016.svg
Novokuznetsk,,,Novokuznetsk,
Novosibirsk,Russia,Russia,"Novosibirsk, Russia, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Novosibirsk_Oblast.svg
Noyabrsk,Yamalia,Russia,"Noyabrsk, Yamalia, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Yamalo-Nenets_Autonomous_Okrug.svg
Nukus,Karakalpakstan,Uzbekistan,"Nukus, Karakalpakstan, Uzbekistan",https://en.wikipedia.org/wiki/File:Qaraqalpaqstan_Respublikasi_in_Uzbekistan.svg
Nunavut,Canada,,"Nunavut, Canada",https://en.wikipedia.org/wiki/File:Nunavut_in_Canada_2.svg
Nuuk,Greenland,Danish Realm,"Nuuk, Greenland, Danish Realm",https://en.wikipedia.org/wiki/File:Greenland_in_the_Kingdom_of_Denmark_(globe_zoom).svg
Nyala,South Darfur,Sudan,"Nyala, South Darfur, Sudan",https://en.wikipedia.org/wiki/File:South_Darfur_in_Sudan_(%2Bclaims_hatched)_(Kafia_Kingi_disputed).svg
Oaxaca,Mexico,,"Oaxaca, Mexico",https://en.wikipedia.org/wiki/File:Oaxaca_in_Mexico.svg
Oaxaca City,Oaxaca,Mexico,"Oaxaca City, Oaxaca, Mexico",https://en.wikipedia.org/wiki/File:Oaxaca_in_Mexico.svg
Odisha,India,,"Odisha, India",https://en.wikipedia.org/wiki/File:Orissa_in_India_(disputed_hatched).svg
Ohio,United States,,"Ohio, United States",https://en.wikipedia.org/wiki/File:Ohio_in_United_States.svg
Ojinaga,,,Ojinaga,
Oklahoma,United States,,"Oklahoma, United States",https://en.wikipedia.org/wiki/File:Oklahoma_in_United_States.svg
Oklahoma City,Oklahoma,United States,"Oklahoma City, Oklahoma, United States",https://en.wikipedia.org/wiki/File:Oklahoma_in_United_States.svg
Olympia,Washington,United States,"Olympia, Washington, United States",https://en.wikipedia.org/wiki/File:Washington_in_United_States.svg
Omaha,Nebraska,United States,"Omaha, Nebraska, United States",https://en.wikipedia.org/wiki/File:Nebraska_in_United_States.svg
Omaheke,Namibia,,"Omaheke, Namibia",https://en.wikipedia.org/wiki/File:Omaheke_in_Namibia.svg
Oman,,,Oman,
Omnogovi,Mongolia,,"Omnogovi, Mongolia",https://en.wikipedia.org/wiki/File:%C3%96mn%C3%B6govi_in_Mongolia.svg
Omsk,Omsk Oblast,Russia,"Omsk, Omsk Oblast, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Omsk_Oblast.svg
Omsk Oblast,Russia,,"Omsk Oblast, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Omsk_Oblast.svg
Ondjiva,Cunene,Angola,"Ondjiva, Cunene, Angola",https://en.wikipedia.org/wiki/File:Cunene_in_Angola.svg
Ondorkhaan,Khentii,Mongolia,"Ondorkhaan, Khentii, Mongolia",https://en.wikipedia.org/wiki/File:Khentii_in_Mongolia.svg
Ontario,Canada,,"Ontario, Canada",https://en.wikipedia.org/wiki/File:Ontario_in_Canada_2.svg
Opuwo,Kunene,Namibia,"Opuwo, Kunene, Namibia",https://en.wikipedia.org/wiki/File:Kunene_in_Namibia.svg
Oral,West Kazakhstan,Kazakhstan,"Oral, West Kazakhstan, Kazakhstan",https://en.wikipedia.org/wiki/File:West_Kazakhstan_Region_in_Kazakhstan.png
Oregon,United States,,"Oregon, United States",https://en.wikipedia.org/wiki/File:Oregon_in_United_States.svg
Orenburg,Russia,,"Orenburg, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Orenburg_Oblast.svg
Oriental,Morocco,,"Oriental, Morocco",https://en.wikipedia.org/wiki/File:L%27oriental_in_Morocco_(Morocco_view).svg
Oromia,Ethiopia,,"Oromia, Ethiopia",https://en.wikipedia.org/wiki/File:Oromia_in_Ethiopia.svg
Oskemen,East Kazakhstan,Kazakhstan,"Oskemen, East Kazakhstan, Kazakhstan",https://en.wikipedia.org/wiki/File:East_Kazakhstan_in_Kazakhstan.svg
Oslo,,,Oslo,
Otjiwarongo,Otjozondjupa,Namibia,"Otjiwarongo, Otjozondjupa, Namibia",https://en.wikipedia.org/wiki/File:Otjozondjupa_in_Namibia.svg
Otjozondjupa,Namibia,,"Otjozondjupa, Namibia",https://en.wikipedia.org/wiki/File:Otjozondjupa_in_Namibia.svg
Ouagadougou,,,Ouagadougou,
Ouargla,Ouargla Province,Algeria,"Ouargla, Ouargla Province, Algeria",https://en.wikipedia.org/wiki/File:Ouargla_in_Algeria_2019.svg
Ouargla Province,Algeria,,"Ouargla Province, Algeria",https://en.wikipedia.org/wiki/File:Ouargla_in_Algeria_2019.svg
Oujda,Oriental,Morocco,"Oujda, Oriental, Morocco",https://en.wikipedia.org/wiki/File:L%27oriental_in_Morocco_(Morocco_view).svg
Pago Pago,,,Pago Pago,
Pakistan,,,Pakistan,
Palangka Raya,Central Kalimantan,Indonesia,"Palangka Raya, Central Kalimantan, Indonesia",https://en.wikipedia.org/wiki/File:Central_Kalimantan_in_Indonesia.svg
Palau,,,Palau,
Palembang,South Sumatra,Indonesia,"Palembang, South Sumatra, Indonesia",https://en.wikipedia.org/wiki/File:South_Sumatra_in_Indonesia.svg
Palmas,Tocantins,Brazil,"Palmas, Tocantins, Brazil",https://en.wikipedia.org/wiki/File:Tocantins_in_Brazil.svg
Panama,,,Panama,
Papua,Indonesia,,"Papua, Indonesia",https://en.wikipedia.org/wiki/File:Province_of_Papua_in_Indonesia.svg
Papua New Guinea,,,Papua New Guinea,
Para,Brazil,,"Para, Brazil",https://en.wikipedia.org/wiki/File:Para_in_Brazil.svg
Paraguay,,,Paraguay,
Paramaribo,,,Paramaribo,
Parana,Brazil,,"Parana, Brazil",https://en.wikipedia.org/wiki/File:Parana_in_Brazil.svg
Paris,,,Paris,
Patna,Bihar,India,"Patna, Bihar, India",https://en.wikipedia.org/wiki/File:Bihar_in_India.svg
Pavlodar,Kazakhstan,,"Pavlodar, Kazakhstan",https://en.wikipedia.org/wiki/File:Pavlodar_in_Kazakhstan.svg
Pekanbaru,Riau,Indonesia,"Pekanbaru, Riau, Indonesia",https://en.wikipedia.org/wiki/File:Riau_in_Indonesia.svg
Pemba,Cabo Delgado,Mozambique,"Pemba, Cabo Delgado, Mozambique",https://en.wikipedia.org/wiki/File:Cabo_Delgado_in_Mozambique.svg
Pennsylvania,United States,,"Pennsylvania, United States",https://en.wikipedia.org/wiki/File:Pennsylvania_in_United_States.svg
Perm,Russia,,"Perm, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Perm_Krai.svg
Pernambuco,Brazil,,"Pernambuco, Brazil",https://en.wikipedia.org/wiki/File:Pernambuco_in_Brazil.svg
Perth,Western Australia,Australia,"Perth, Western Australia, Australia",https://en.wikipedia.org/wiki/File:Western_Australia_in_Australia.svg
Peru,,,Peru,
Peshawar,Khyber Pakhtunkhwa,Pakistan,"Peshawar, Khyber Pakhtunkhwa, Pakistan",https://en.wikipedia.org/wiki/File:Khyber_Pakhtunkhwa_in_Pakistan_(claims_hatched).svg
Petropavl,North Kazakhstan,Kazakhstan,"Petropavl, North Kazakhstan, Kazakhstan",https://en.wikipedia.org/wiki/File:North_Kazakhstan_in_Kazakhstan.svg
Petropavlovsk-Kamchatsky,Kamchatka,Russia,"Petropavlovsk-Kamchatsky, Kamchatka, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Kamchatka_Krai_(Crimea_disputed).svg
Petrozavodsk,Karelia,Russia,"Petrozavodsk, Karelia, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Karelia.svg
Philadelphia,Pennsylvania,United States,"Philadelphia, Pennsylvania, United States",https://en.wikipedia.org/wiki/File:Pennsylvania_in_United_States.svg
Phnom Penh,,,Phnom Penh,
Phoenix,Arizona,United States,"Phoenix, Arizona, United States",https://en.wikipedia.org/wiki/File:Arizona_in_United_States.svg
Piaui,Brazil,,"Piaui, Brazil",https://en.wikipedia.org/wiki/File:Piaui_in_Brazil.svg
Pierre,South Dakota,United States,"Pierre, South Dakota, United States",https://en.wikipedia.org/wiki/File:South_Dakota_in_United_States.svg
Pietermaritzburg,KwaZulu-Natal,South Africa,"Pietermaritzburg, KwaZulu-Natal, South Africa",https://en.wikipedia.org/wiki/File:KwaZulu-Natal_in_South_Africa.svg
Pitcairn,,,Pitcairn,
Podgorica,,,Podgorica,
Pohnpei,,,Pohnpei,
Polokwane,Limpopo,South Africa,"Polokwane, Limpopo, South Africa",https://en.wikipedia.org/wiki/File:Limpopo_in_South_Africa.svg
Pontianak,West Kalimantan,Indonesia,"Pontianak, West Kalimantan, Indonesia",https://en.wikipedia.org/wiki/File:West_Kalimantan_in_Indonesia.svg
Port Sudan,Red Sea State,Sudan,"Port Sudan, Red Sea State, Sudan",https://en.wikipedia.org/wiki/File:Red_Sea_in_Sudan_(%2Bclaims_hatched)_(Kafia_Kingi_disputed).svg
Port Moresby,,,Port Moresby,
Port of Spain,,,Port of Spain,
Port-au-Prince,,,Port-au-Prince,
Portland,Maine,United States,"Portland, Maine, United States",https://en.wikipedia.org/wiki/File:Maine_in_United_States.svg
